state,n1_1987,n1_1988,n1_1989,n1_1990,n1_1991,n1_1992,n1_1993,n1_1994,n1_1995,n1_1996,n1_1997,n1_1998,n1_1999,n1_2000,n1_2001,n1_2002,n1_2003,n1_2004,n1_2005,n1_2006,n1_2007,n1_2008,n1_2009,n1_2010,n1_2011,n1_2012,n1_2013,n1_2014,n1_2015,n1_2016,n2_1987,n2_1988,n2_1989,n2_1990,n2_1991,n2_1992,n2_1993,n2_1994,n2_1995,n2_1996,n2_1997,n2_1998,n2_1999,n2_2000,n2_2001,n2_2002,n2_2003,n2_2004,n2_2005,n2_2006,n2_2007,n2_2008,n2_2009,n2_2010,n2_2011,n2_2012,n2_2013,n2_2014,n2_2015,n3_1987,n3_1988,n3_1989,n3_1990,n3_1991,n3_1992,n3_1993,n3_1994,n3_1995,n3_1996,n3_1997,n3_1998,n3_1999,n3_2000,n3_2001,n3_2002,n3_2003,n3_2004,n3_2005,n3_2006,n3_2007,n3_2008,n3_2009,n3_2010,n3_2011,n3_2012,n3_2013,n3_2014,n3_2015
Iowa,,,,,,,,,,,,9500,10100,10700,10900,11350,11680,12030,12450,12820,13200,13600,14100,14500,14940,14940,14940,14940,14940,14940,,,,,,,,,,,,13813.87423,14368.97779,14727.53717,14587.7205,14953.54614,15045.42696,15094.30656,15109.37865,15072.212,15089.19756,14971.60374,15577.45144,15760.84354,15742.19668,15423.0249,15200.37595,14957.73342,14940,,,,,,,,,,,,8176.993865,8505.582233,8717.828107,8635.064935,8851.612007,8906,8934.933827,8943.855607,8921.855159,8931.909599,8862.301036,9220.926926,9329.484169,9318.446334,9129.51558,8997.720609,8854.090633,8843.593498
Minnesota,5900,6210,6750,7280,7630,7800,8050,8250,8250,9000,9400,9790,9980,10110,10390,11350,12200,12745,12900,13320,13320,14410,14830,15270,15700,16175,16000,16300,16600,16900,12309.8618,12441.88986,12902.13508,13201.86503,13277.8246,13176.99644,13204.06125,13194.26619,12830.64469,13595.62141,13881.36947,14235.56092,14198.25726,13915.45801,13905.17578,14953.54614,15715.25761,15991.43285,15655.50077,15660.05179,15226.37208,15863.29484,16383.94361,16597.79868,16543.00455,16697.95367,16278.84974,16319.34771,16600,7286.707746,7364.860524,7637.298387,7814.720735,7859.684288,7800,7816.020761,7810.222672,7594.980315,8047.801147,8216.94704,8426.607362,8404.52581,8237.125436,8231.038961,8851.612007,9302.5,9465.979354,9267.127496,9269.821429,9013.108777,9390.12926,9698.322434,9824.911949,9792.477072,9884.197758,9636.113102,9660.085496,9826.214997
Missouri,,,,,,,,,9050,9500,9880,10080,10380,10690,10990,10990,11540,12000,12400,12800,13200,13600,14000,14400,14600,14600,14600,14600,14600,14600,,,,,,,,,14074.82841,14350.93372,14590.20536,14657.24761,14767.32569,14713.77311,14708.16957,14479.24864,14865.08793,15056.6649,15048.69841,15048.69841,15089.19756,14971.60374,15466.97306,15652.14807,15383.94053,15072.03237,14854.45039,14617.32985,14600,,,,,,,,,8331.463255,8494.901211,8636.535826,8676.220859,8741.380552,8709.680604,8706.363636,8570.856031,8799.25,8912.652197,8907.936508,8907.936508,8931.909599,8862.301036,9155.530281,9265.142899,9106.379952,8921.748826,8792.953206,8652.591917,8642.333672
Nebraska,6480,6800,7000,7200,7350,7570,7860,8200,8420,8700,9000,9300,9600,10500,10900,11450,11900,12250,13000,13200,13500,13600,14200,14400,14800,15100,14200,14255,14470,14755,13519.9838,13623.96957,13379.99194,13056.78959,12790.56498,12788.44398,12892.4126,13114.30094,13095.03373,13142.43403,13290.6729,13523.05583,13657.64226,14452.2561,14587.7205,15085.29544,15328.81685,15370.34542,15776.86124,15518.97024,15432.13387,14971.60374,15687.92982,15652.14807,15594.67945,15588.19786,14447.47915,14271.92035,14470,8003.028169,8064.581572,7920.16129,7728.844682,7571.255507,7570,7631.543253,7762.887989,7751.48294,7779.541109,7867.28972,8004.846626,8084.513806,8554.878049,8635.064935,8929.599778,9073.75,9098.332451,9338.965694,9186.309524,9134.907544,8862.301036,9286.323571,9265.142899,9231.124883,9227.28817,8552.050378,8448.129984,8565.381386
North Dakota,6000,6200,6400,6700,7000,7420,7810,8120,8450,8709,9000,9400,9800,10300,10800,11350,11900,12500,13000,13390,13790,14200,14630,15070,15520,15680,15840,16240,16730,17150,12518.50352,12421.85461,12233.13548,12150.06809,12181.49046,12535.0402,12810.39979,12986.35655,13141.69062,13156.02966,13290.6729,13668.46503,13942.17647,14176.97503,14453.8882,14953.54614,15328.81685,15684.02594,15776.86124,15742.34936,15763.63896,15632.11567,16162.98685,16380.40774,16353.33953,16186.94983,16116.06125,16259.27649,16730,7410.211268,7353.000845,7241.290323,7192.119357,7210.71953,7420,7582.99654,7687.152497,7779.10105,7787.58891,7867.28972,8090.920245,8252.941176,8391.927991,8555.844156,8851.612007,9073.75,9284.012705,9338.965694,9318.536706,9331.138891,9253.284905,9567.529144,9696.229409,9680.206634,9581.713808,9539.751971,9624.526899,9903.167283
South Dakota,5800,5900,6000,6200,6500,6700,7100,7500,8000,8300,8600,8800,9400,9800,10200,10600,11000,11700,12300,13000,13000,13400,13900,14200,14200,14600,13700,14100,14500,14900,12101.22007,11820.79713,11468.56452,11243.3466,11311.38399,11318.70207,11645.81799,11994.78745,12441.83727,12538.18419,12699.97632,12796.00982,13373.10804,13488.77236,13650.89441,13965.42635,14169.49457,14680.24828,14927.33794,15283.83433,14860.57335,14751.4331,15356.49468,15434.75713,14962.46271,15072.03237,13938.76509,14116.73636,14500,7163.204225,6997.210482,6788.709677,6655.394032,6695.668135,6700,6893.633218,7100.202429,7364.829396,7421.861058,7517.632399,7574.478528,7916.086435,7984.552846,8080.519481,8266.703724,8387.5,8689.835892,8836.09831,9047.123016,8796.577635,8731.97308,9090.133637,9136.460359,8856.89009,8921.748826,8250.921844,8356.270276,8583.139606
Southwest Region,,,,,,,,,,,,9832.714286,10220,10884.28571,11201.42857,11765.71429,12122.85714,12691.42857,13030,13701.42857,14174.28571,14642.14286,15183.85714,15468.57143,15804.28571,16041.42857,15787.14286,15850,15787.14286,15787.14286,,,,,,,,,,,,14297.67142,14539.69832,14981.18901,14991.12928,15501.24682,15615.88713,15924.21559,15813.26938,16108.48956,16202.92404,16118.85006,16774.87924,16813.63684,16652.88984,16560.06375,16062.2829,15868.81357,15787.14286,,,,,,,,,,,,8463.373094,8606.638655,8867.974946,8873.858998,9175.818312,9243.678571,9426.190728,9360.517153,9535.269983,9591.169593,9541.402781,9929.733133,9952.675328,9857.522643,9802.575105,9507.918383,9393.396019,9345.051802
Arizona,,,,,,,,,,,,12000,12000,13200,13700,14000,14300,14600,14600,14900,15100,15400,15700,15900,16100,16600,16200,16400,16400,16400,,,,,,,,,,,,17449.10429,17072.05282,18168.55052,18335.02484,18444.90272,18420.34293,18318.9423,17718.62878,17517.6255,17261.12751,16953.13953,17345.10551,17282.58016,16964.48237,17136.69434,16482.33537,16419.46641,16400,,,,,,,,,,,,10328.83436,10105.64226,10754.70383,10853.24675,10918.28794,10903.75,10843.72684,10488.37686,10369.39484,10217.56325,10035.25264,10267.27324,10230.26195,10041.96693,10143.9062,9756.564516,9719.349824,9707.826865
Colorado,4900,5100,5415,5700,6000,6620,6900,7300,7600,7840,8080,8500,8900,9500,9800,10200,11000,12600,13100,14000,14400,14900,15400,15800,16200,16200,16500,16740,16100,16600,10223.44454,10217.97718,10350.37948,10336.6251,10441.27753,11183.55339,11317.76678,11674.92645,11819.74541,11843.29688,11932.07078,12359.78221,12661.77251,13075.85075,13115.56522,13438.42913,14169.49457,15809.49815,15898.22171,16459.51389,16460.94279,16402.71292,17013.67037,17173.88469,17069.85183,16723.76194,16787.5638,16759.86998,16100,6051.672535,6048.436179,6126.810484,6118.668707,6180.61674,6620,6699.446367,6910.863698,6996.587927,7010.528999,7063.077882,7316.257669,7495.018007,7740.127758,7763.636364,7954.75264,8387.5,9358.284807,9410.803891,9743.055556,9743.90138,9709.432753,10071.08331,10165.92068,10104.3394,9899.474725,9937.241637,9920.84854,9530.244666
Kansas,6030,6210,6830,7150,7440,7880,8250,8600,9000,9570,9955,10770,10500,11000,11300,11300,11300,11640,12100,12850,13330,14000,14700,15300,15680,15680,13700,13700,13700,13200,12581.09604,12441.88986,13055.04927,12966.11744,12947.18414,13312.14512,13532.11246,13754.02294,13997.06693,14456.67744,14700.96097,15660.5711,14938.04622,15140.45877,15123.04969,14887.67148,14555.93533,14604.96496,14684.617,15107.48239,15237.80329,15411.94503,16240.32172,16630.40733,16521.93066,16186.94983,13938.76509,13716.26157,13700,7447.262324,7364.860524,7727.814516,7675.17215,7663.964758,7880,8010.207612,8141.565452,8285.433071,8557.49522,8702.096573,9270.128834,8842.436975,8962.253194,8951.948052,8812.618121,8616.25,8645.272631,8692.421915,8942.733135,9019.875375,9122.956949,9613.306796,9844.21433,9780.002578,9581.713808,8250.921844,8119.212963,8109.587076
New Mexico,6000,6300,6600,6950,7260,7590,7900,8200,8600,9000,9400,9840,10180,10590,11010,11460,11910,12500,13010,13660,14490,14995,15587,15980,16500,17160,17160,17160,17160,17160,12518.50352,12622.2071,12615.42097,12603.42884,12633.94581,12822.23115,12958.02284,13114.30094,13374.97507,13595.62141,13881.36947,14308.26552,14482.79148,14576.13258,14734.93602,15098.47037,15341.69821,15684.02594,15788.99729,16059.78284,16563.82368,16507.29398,17220.26494,17369.53654,17385.96019,17714.79969,17459.06635,17180.36851,17160,7410.211268,7471.597633,7467.580645,7460.48202,7478.546256,7590,7670.380623,7762.887989,7917.191601,8047.801147,8216.94704,8469.644172,8572.953181,8628.205575,8722.207792,8937.398555,9081.375,9284.012705,9346.149514,9506.438492,9804.800764,9771.338532,10193.37504,10281.73497,10291.45679,10486.11026,10334.7313,10169.75872,10157.70177
Oklahoma,5920,6440,6820,7280,7760,8160,8500,9200,9660,10000,10300,11000,11000,11500,11500,11800,12000,12500,12900,13500,13900,14300,15200,15100,15600,15600,15600,15600,15600,15600,12351.59014,12902.70059,13035.935,13201.86503,13504.05228,13785.1655,13942.17647,14713.60594,15023.5185,15106.24602,15210.43676,15995.01227,15649.38175,15828.66144,15390.71429,15546.41801,15457.63043,15684.02594,15655.50077,15871.67411,15889.38228,15742.20099,16792.71361,16413.01638,16437.63509,16104.36335,15871.8785,15618.51683,15600,7311.408451,7637.633136,7716.5,7814.720735,7993.597651,8160,8252.941176,8709.581646,8893.031496,8942.001275,9003.676012,9468.09816,9263.505402,9369.628339,9110.38961,9202.556976,9150,9284.012705,9267.127496,9395.089286,9405.571471,9318.448884,9940.29002,9715.53179,9730.104606,9532.827513,9395.210275,9245.235199,9234.274335
Texas,6380,6640,6920,7380,7680,8060,8420,8840,9290,9290,9528,9719,9960,10900,11100,11500,11950,12400,12900,13500,13900,14400,14800,15300,15450,15450,15450,15450,15450,15450,13311.34208,13303.40558,13227.07774,13383.20933,13364.83524,13616.22965,13810.95599,14137.85614,14448.08353,14033.70255,14070.39237,14132.32039,14169.80384,15002.81823,14855.38509,15151.17009,15393.22364,15558.55373,15655.50077,15871.67411,15889.38228,15852.28631,16350.8001,16630.40733,16279.58091,15949.51371,15719.26428,15468.33878,15450,7879.524648,7874.826712,7829.645161,7922.0658,7911.189427,8060,8175.266436,8368.77193,8552.408136,8307.119184,8328.837383,8365.495092,8387.683073,8880.778165,8793.506494,8968.593663,9111.875,9209.740603,9267.127496,9395.089286,9405.571471,9383.612862,9678.70344,9844.21433,9636.545908,9441.16571,9304.871715,9156.338706,9145.483235
Utah,,,,,,,,,,,,7000,9000,9500,10000,12100,12400,12600,12600,13500,14100,14500,14900,14900,15100,15600,15900,15900,16100,16100,,,,,,,,,,,,10178.64417,12804.03962,13075.85075,13383.22981,15941.66593,15972.88478,15809.49815,15291.41935,15871.67411,16118.00648,15962.37163,16461.27847,16195.62544,15910.78781,16104.36335,16177.10693,15918.87292,16100,,,,,,,,,,,,6025.153374,7579.231693,7740.127758,7922.077922,9436.520289,9455,9358.284807,9051.612903,9395.089286,9540.903435,9448.77684,9744.100085,9586.84925,9418.242279,9532.827513,9575.887396,9423.028183,9530.244666
Northwest Region,,,,,,,,,,,,9920,9646,9914,10706,11212,11878,12274,12727,13882.6,14384.6,14972.6,15582,16145.6,16618,17044,17184.4,17544,17958,18176,,,,,,,,,,,,14424.59288,13723.08513,13645.68257,14328.08584,14771.7321,15300.47786,15400.45875,15445.54715,16321.48911,16443.33873,16482.63486,17214.74102,17549.53624,17510.29615,17595.0493,17483.8916,17564.82431,17958,,,,,,,,,,,,8538.503067,8123.252101,8077.434379,8481.376623,8743.988883,9056.975,9116.157755,9142.847414,9661.353075,9733.480819,9756.741801,10190.1052,10388.28411,10365.0563,10415.22514,10349.42637,10397.33374,10630.07042
Idaho,,,,,,,,,,,,10000,9400,9490,10240,10550,10800,11340,11915,14868,14868,15463,16040,16728,17100,17700,18252,17600,17700,17220,,,,,,,,,,,,14540.92025,13373.10804,13062.0867,13704.42733,13899.5517,13911.86739,14228.54833,14460.10013,17480.00375,16995.92343,17022.49328,17720.73199,18182.57868,18018.17693,18272.25842,18570.09785,17620.89078,17700,,,,,,,,,,,,8607.361963,7916.086435,7731.980256,8112.207792,8227.709839,8235,8422.456326,8559.521249,10347.125,10060.57818,10076.30595,10489.62184,10763.00767,10665.69159,10816.09276,10992.39602,10430.52176,10477.34973
Montana,5700,6000,6200,6500,6900,7100,7400,7800,8200,8750,9100,9650,9850,10300,10900,11400,12600,13000,13000,13600,14000,14600,15000,15500,16000,16000,16100,16500,16800,17250,11892.57835,12021.14962,11850.85,11787.3795,12007.46916,11994.44547,12137.89481,12474.57895,12752.8832,13217.96526,13438.34704,14031.98804,14013.31002,14176.97503,14587.7205,15019.42079,16230.51196,16311.38698,15776.86124,15989.24206,16003.69438,16072.45696,16571.75685,16847.79827,16859.11292,16517.29575,16380.59256,16519.58511,16800,7039.700704,7115.80727,7015,6977.429227,7107.709251,7100,7184.913495,7384.210526,7548.950131,7824.251115,7954.70405,8306.104294,8295.048019,8391.927991,8635.064935,8890.605892,9607.5,9655.373213,9338.965694,9464.68254,9473.237453,9513.940818,9809.49673,9972.896871,9979.594468,9777.258988,9696.338809,9778.614152,9944.60313
Oregon,,,,,,,,,,,,10100,9480,9480,9480,10600,11020,11560,12120,13080,13860,14580,15300,16080,16860,17700,18600,19560,19560,19950,,,,,,,,,,,,14686.32945,13486.92173,13048.32265,12687.30186,13965.42635,14195.25728,14504.58719,14708.88909,15377.88869,15843.65744,16050.43989,16903.19199,17478.23201,17765.29023,18272.25842,18924.16283,19583.21725,19560,,,,,,,,,,,,8693.435583,7983.457383,7723.832753,7510.12987,8266.703724,8402.75,8585.85495,8706.789555,9102.797619,9378.505079,9500.908023,10005.68666,10346.07624,10515.99767,10816.09276,11201.98148,11592.1026,11578.35936
Washington,,,,,,,,,,,,10200,9500,9800,11910,12260,12970,12970,13350,14150,15000,15900,16370,16860,17400,17920,18190,18560,18930,19210,,,,,,,,,,,,14831.73865,13515.37515,13488.77236,15939.42671,16152.46481,16707.12223,16273.74531,16201.62289,16635.86582,17146.81541,17503.56614,18085.31065,18326.0567,18334.2853,18499.37124,18507.0173,18582.03028,18930,,,,,,,,,,,,8779.509202,8000.30012,7984.552846,9435.194805,9561.300723,9889.625,9633.091583,9590.399386,9847.445437,10149.89727,10361.07253,10705.43076,10847.93814,10852.80898,10950.53007,10955.05608,10999.45931,11205.43674
Wyoming,5710,5900,6100,6400,6800,7150,7500,7850,8320,8570,9000,9650,10000,10500,11000,11250,12000,12500,13250,13715,14195,14320,15200,15560,15730,15900,14780,15500,16800,17250,11913.44252,11820.79713,11659.70726,11606.0352,11833.44787,12078.9134,12301.92042,12554.5442,12939.51076,12946.05284,13290.6729,14031.98804,14226.71068,14452.2561,14721.5528,14821.79683,15457.63043,15684.02594,16080.26242,16124.44521,16226.60298,15764.21806,16792.71361,16913.01556,16574.61538,16414.06265,15037.58745,15518.39813,16800,7052.051056,6997.210482,6901.854839,6870.084162,7004.698972,7150,7282.00692,7431.545209,7659.422572,7663.295092,7867.28972,8306.104294,8421.368547,8554.878049,8714.285714,8773.624236,9150,9284.012705,9518.561188,9544.714782,9605.186118,9331.481679,9940.29002,10011.50163,9811.188811,9716.151119,8901.359478,9185.970871,9944.60313
Pacific Region,,,,,,,,,,,,11616.66667,11466.66667,11800,12700,13066.66667,14066.66667,14380,15416.66667,16566.66667,18900,19433.33333,20266.66667,21000,21466.66667,22233.33333,22233.33333,22550,22616.66667,22933.33333,,,,,,,,,,,,16891.70235,16313.29492,16241.58304,16996.70186,17215.24254,18119.7779,18042.90344,18709.73929,19477.09144,21604.98741,21393.2475,22390.28481,22826.04927,22619.30983,22952.15888,22620.81829,22576.76631,22616.66667,,,,,,,,,,,,9998.885481,9656.502601,9614.053426,10061.03896,10190.40208,10725.83333,10680.32822,11075.05547,11529.28241,12788.87056,12663.5331,13253.72003,13511.66673,13389.28924,13586.31613,13390.18217,13364.10601,13387.72465
California,,,,,,,,,,,,15000,14600,15100,15600,16100,16600,17100,17600,18700,19600,20600,21600,22200,22400,22600,22600,22600,22800,23750,,,,,,,,,,,,21811.38037,20770.9976,20783.72067,20877.83851,21211.63813,21383.05543,21455.74749,21359.44291,21985.20784,22405.17213,22677.57625,23863.32987,24130.39494,23602.75808,23330.68024,22993.87526,22626.82566,22800,,,,,,,,,,,,12911.04294,12295.19808,12302.72938,12358.44156,12556.03113,12657.5,12700.52938,12643.52279,13013.93849,13262.53243,13423.77951,14125.67529,14283.76197,13971.43225,13810.37832,13611.00976,13393.73817,13496.2471
Hawaii,,,,,,,,,,,,8350,8400,8400,9500,9500,11200,11540,11800,13700,18000,18000,19100,20000,20400,22500,22500,23450,23450,23450,,,,,,,,,,,,12141.6684,11950.43697,11561.80488,12714.06832,12516.18399,14427.12174,14479.49275,14320.53559,16106.81002,20576.17849,19815.35789,21101.37039,21739.09454,21495.36897,23227.44715,22892.13245,23477.83459,23450,,,,,,,,,,,,7187.147239,7073.94958,6843.902439,7525.974026,7408.838243,8540,8571.000529,8476.907322,9534.275794,12179.87673,11729.51608,12490.75917,12868.25403,12723.98295,13749.27045,13550.78405,13897.48496,13881.00854
Nevada,,,,,,,,,,,,11500,11400,11900,13000,13600,14400,14500,16850,17300,19100,19700,20100,20800,21600,21600,21600,21600,21600,21600,,,,,,,,,,,,16722.05828,16218.45018,16379.22358,17398.19876,17917.9055,18549.15652,18193.47009,20449.23938,20339.25645,21833.61162,21686.80836,22206.15418,22608.65833,22759.80244,22298.34926,21976.44716,21625.63869,21600,,,,,,,,,,,,9898.466258,9600.360144,9695.528455,10298.7013,10606.33685,10980,10769.45474,12104.7363,12039.63294,12924.20253,12837.30371,13144.72562,13382.98419,13472.45253,13199.29963,13008.75269,12801.09489,12785.91831
Alaska,,,,,,,,,,,,15000,15500,15500,18000,18700,19600,20700,21600,22890,24200,25719,27262,28898,30344,30344,30344,30344,30344,30344,,,,,,,,,,,,21811.38037,22051.40156,21334.28281,24089.81366,24637.12007,25247.46304,25972.74696,26213.86175,26911.30521,27663.52886,28312.84387,30118.61569,31410.81771,31973.30764,31325.05139,30872.83854,30380.01761,30344,,,,,,,,,,,,12911.04294,13053.12125,12628.6295,14259.74026,14583.71317,14945,15374.32504,15517.05069,15929.89583,16375.1676,16759.52356,17828.43332,18593.34024,18926.30091,18542.57167,18274.8885,17983.16775,17961.84746
