state,n1_1987,n1_1988,n1_1989,n1_1990,n1_1991,n1_1992,n1_1993,n1_1994,n1_1995,n1_1996,n1_1997,n1_1998,n1_1999,n1_2000,n1_2001,n1_2002,n1_2003,n1_2004,n1_2005,n1_2006,n1_2007,n1_2008,n1_2009,n1_2010,n1_2011,n1_2012,n1_2013,n1_2014,n1_2015,n1_2016,n2_1987,n2_1988,n2_1989,n2_1990,n2_1991,n2_1992,n2_1993,n2_1994,n2_1995,n2_1996,n2_1997,n2_1998,n2_1999,n2_2000,n2_2001,n2_2002,n2_2003,n2_2004,n2_2005,n2_2006,n2_2007,n2_2008,n2_2009,n2_2010,n2_2011,n2_2012,n2_2013,n2_2014,n2_2015,n3_1987,n3_1988,n3_1989,n3_1990,n3_1991,n3_1992,n3_1993,n3_1994,n3_1995,n3_1996,n3_1997,n3_1998,n3_1999,n3_2000,n3_2001,n3_2002,n3_2003,n3_2004,n3_2005,n3_2006,n3_2007,n3_2008,n3_2009,n3_2010,n3_2011,n3_2012,n3_2013,n3_2014,n3_2015
Tennessee,,,,,,,,,,,,,,,,12900,12900,12900,13900,13900,14300,15000,15400,15400,15400,15400,14000,14500,15000,15000,,,,,,,,,,,,,,,,16995.66037,16616.95272,16185.91477,16869.10548,16341.94593,16346.63069,16512.79824,17013.67037,16739.1028,16226.89618,15897.89716,14243.99353,14517.21116,15000,,,,,,,,,,,,,,,,10060.42246,9836.25,9581.101112,9985.509473,9673.462302,9676.235399,9774.596731,10071.08331,9908.5556,9605.359675,9410.611776,8431.598965,8593.327589,8879.109937
Northeast Region,,,,,,,,,,,,,10468.36364,10849.54545,11299.54545,11570,11967.72727,12147.27273,12477.72727,12905.45455,13388.63636,13772.72727,14308.90909,14545,14821.90909,14965.45455,15166.36364,15215.45455,15416.36364,15416.36364,,,,,,,,,,,,,14893.03808,14933.37233,15122.44136,15243.39461,15416.05878,15241.45124,15143.0286,15172.67917,15304.83175,15161.75111,15808.25082,15809.75651,15617.76494,15449.30242,15430.68468,15233.51493,15416.36364,,,,,,,,,,,,,8815.794827,8839.670309,8951.587957,9023.185103,9125.392045,9022.034747,8963.77438,8981.325758,9059.552246,8974.856999,9357.546463,9358.437741,9244.790123,9145.07031,9134.04971,9017.336918,9125.572504
Connecticut,,,,,,,,,,,,,8600,8850,9250,9600,9880,10000,10400,11100,11800,12690,13650,14300,15000,15000,15000,15000,15000,15000,,,,,,,,,,,,,12234.97119,12181.18728,12379.48758,12647.9333,12726.78239,12547.22075,12621.48899,13050.04315,13488.82812,13969.82731,15080.29874,15543.4526,15805.41836,15484.96476,15261.42164,15017.80464,15000,,,,,,,,,,,,,7242.376951,7210.54007,7327.922078,7486.826014,7533.5,7427.210164,7471.172555,7724.85119,7984.585853,8269.308835,8926.642024,9200.801629,9355.869814,9166.180301,9033.856034,8889.64923,8879.109937
Maine,,,,,,,,,,,,,10000,10000,10300,10600,11000,11600,12200,12200,12200,12200,12200,12200,12200,12200,12200,13200,13500,13500,,,,,,,,,,,,,14226.71068,13764.05343,13784.72671,13965.42635,14169.49457,14554.77607,14805.97747,14343.29067,13946.07653,13430.40924,13478.36224,13260.84767,12855.0736,12594.43801,12412.62293,13215.66809,13500,,,,,,,,,,,,,8421.368547,8147.502904,8159.74026,8266.703724,8387.5,8615.56379,8764.260113,8490.376984,8255.249781,7950.005341,7978.390674,7849.634956,7609.440782,7455.159978,7347.536241,7822.891322,7991.198944
Maryland/Delaware,,,,,,,,,,,,,11700,11700,12100,12500,12500,11500,11500,12500,12875,13300,13740,14000,14350,14350,14350,14350,14700,14700,,,,,,,,,,,,,16645.2515,16103.94251,16193.70807,16468.66315,16101.69837,14429.30386,13956.45417,14695.99454,14717.68322,14641.34777,15179.72928,15217.36618,15120.5169,14813.94962,14600.09336,14367.03311,14700,,,,,,,,,,,,,9853.0012,9532.578397,9585.714286,9748.471373,9531.25,8541.291689,8261.392729,8699.156746,8711.995158,8666.809102,8985.499005,9007.777819,8950.448788,8768.979155,8642.388939,8504.431096,8701.527739
Massachusetts,,,,,,,,,,,,,10820,11270,11950,11780,12270,12700,13100,13900,15560,16200,16608,16445,16101,16000,16700,15800,15800,15800,,,,,,,,,,,,,15393.30096,15512.08821,15992.95963,15520.06815,15805.42712,15934.97035,15898.22171,16341.94593,17786.96318,17833.8221,18348.24919,17874.97049,16965.53607,16517.29575,16991.04942,15818.75422,15800,,,,,,,,,,,,,9111.920768,9182.235772,9466.883117,9186.959422,9355.875,9432.556908,9410.803891,9673.462302,10528.82677,10556.56447,10861.07478,10580.92187,10042.59066,9777.258988,10057.69305,9363.763855,9352.662467
New Hampshire/Vermont,,,,,,,,,,,,,9600,9980,10900,11300,11750,12100,12280,12800,13100,13360,13800,14350,14900,14900,13700,14850,15000,15000,,,,,,,,,,,,,13657.64226,13736.52532,14587.7205,14887.67148,15135.59647,15182.13711,14903.06585,15048.69841,14974.88545,14707.39897,15246.0163,15597.80034,15700.0489,15381.73167,13938.76509,14867.6266,15000,,,,,,,,,,,,,8084.513806,8131.207898,8635.064935,8812.618121,8959.375,8986.924299,8821.730671,8907.936508,8864.243617,8705.907489,9024.736992,9232.972264,9293.497348,9105.072432,8250.921844,8800.752737,8879.109937
New Jersey,,,,,,,,,,,,,12630,12980,13300,13700,14200,14600,14600,14950,15300,15300,15800,15800,16200,16500,16500,16900,16900,16900,,,,,,,,,,,,,17968.33559,17865.74135,17799.69565,18049.65481,18291.52935,18318.9423,17718.62878,17576.40947,17489.75171,16843.05421,17455.58389,17173.88469,17069.85183,17033.46124,16787.5638,16920.0599,16900,,,,,,,,,,,,,10636.18848,10575.45877,10536.36364,10684.32462,10827.5,10843.72684,10488.37686,10404.19147,10352.89522,9970.088666,10332.66989,10165.92068,10104.3394,10082.79833,9937.241637,10015.67147,10003.7972
New York,,,,,,,,,,,,,12902,13345,13475,14040,14475,14025,14580,14590,14005,14560,15090,15400,15390,15870,15280,15470,16220,16220,,,,,,,,,,,,,18355.30212,18368.1293,18033.90217,18497.60245,18645.76671,17597.4771,17694.35668,17153.16483,16009.40998,16028.42283,16671.18739,16739.1028,16216.35924,16383.09272,15546.30151,15488.36252,16220,,,,,,,,,,,,,10865.2497,10872.84262,10675,10949.48305,11037.1875,10416.66226,10474.00922,10153.65575,9476.620752,9487.875227,9868.353711,9908.5556,9599.122429,9697.818758,9202.488013,9168.191572,9601.277545
Pennsylvania,,,,,,,,,,,,,11800,11970,12410,12760,13140,13400,13700,13800,14200,14680,15420,16050,16700,17200,17200,17200,17460,17460,,,,,,,,,,,,,16787.51861,16475.57195,16608.5882,16811.21134,16926.10533,16813.27581,16626.38454,16224.37798,16232.31858,16160.52521,17035.76605,17445.62337,17596.69911,17756.09293,17499.76348,17220.41599,17460,,,,,,,,,,,,,9937.214886,9752.560976,9831.298701,9951.239578,10019.25,9952.46162,9841.833077,9603.869048,9608.569417,9566.072001,10084.16264,10326.77386,10416.20173,10510.55341,10358.82159,10193.46445,10335.28397
